順位,声優名,出典数
1,花澤香菜,991
2,水瀬いのり,775
3,早見沙織,722
4,釘宮理恵,544
5,佐倉綾音,644
6,雨宮天,739
7,高橋李依,464
8,沢城みゆき,743
9,悠木碧,704
10,上田麗奈,377
11,内田真礼,861
12,茅野愛衣,536
13,伊藤美来,313
14,林原めぐみ,255
15,大西沙織,494
16,麻倉もも,172
17,石川由依,358
18,花守ゆみり,330
19,野沢雅子,344
20,古賀葵,227
21,小倉唯,671
22,上坂すみれ,370
23,種田梨沙,251
24,Lynn,256
25,能登麻美子,337
26,種崎敦美,351
27,日笠陽子,988
28,檜山沙耶,102
29,豊崎愛生,263
30,日高里菜,353
31,竹達彩奈,458
32,小松未可子,469
33,高山みなみ,160
34,夏川椎菜,181
35,諸星すみれ,145
36,桑原由気,220
37,緒方恵美,183
38,伊瀬茉莉也,312
39,鬼頭明里,533
40,井口裕香,359
41,佐藤聡美,289
42,小原好美,178
43,加隈亜衣,451
44,加藤英美里,261
45,瀬戸麻沙美,311
46,阿澄佳奈,322
47,M・A・O（市道真央）,421
48,徳井青空,349
49,田村ゆかり,378
50,田村睦心,268
51,朴璐美,278
52,潘めぐみ,338
53,佐藤利奈,394
54,千本木彩花,247
55,斎藤千和,408
56,石原夏織,319
57,長縄まりあ,173
58,大谷育江,174
59,三石琴乃,213
60,市ノ瀬加那,129
61,坂本真綾,365
62,和氣あず未,216
63,川澄綾子,347
64,朝日奈丸佳,97
65,小林ゆう,303
66,伊藤かな恵,229
67,井上麻里奈,477
68,東山奈央,480
69,黒沢ともよ,274
70,石見舞菜香,339
71,喜多村英梨,389
72,田中真弓,189
73,楠木ともり,234
74,南條愛乃,242
75,日髙のり子,162
76,堀江由衣,678
77,金元寿子,407
78,久野美咲,227
79,井上喜久子,391
80,戸松遥,373
81,ゆきのさつき,107
82,戸田恵子,174
83,本渡楓,277
84,島本須美,127
85,大原さやか,293
86,桑島法子,262
87,丹下桜,181
88,内田彩,282
89,大山のぶ代,75
90,遠藤綾,267
91,皆口裕子,147
92,高垣彩陽,191
93,甲斐田ゆき,64
94,大空直美,164
95,小清水亜美,399
96,久川綾,148
97,三森すずこ,403
98,大森日雅,104
99,前田佳織里,152
100,茅原実里,280
